word,homo_aae,homo_sae,freq
rung,0,0,50
runt,1,0,3
ruse,1,0,30
sad,1,0,466
salt,0,0,892
sax,1,0,25
scan,1,0,94
scour,0,0,28
screech,0,0,9
scrub,0,0,55
sear,1,0,28
seat,1,0,2219
sect,1,0,33
seize,1,0,378
serge,1,1,27
sew,1,1,20
shaft,0,0,48
shall,0,0,462
shed,0,0,945
sheik,1,1,193
shift,0,0,2407
ship,1,0,1753
shock,0,0,853
shore,1,0,633
short,0,0,14601
should,0,0,23045
shove,0,0,60
shown,1,1,2122
shrewd,0,0,185
shrub,0,0,7
shunt,1,0,3
sigh,0,0,121
since,1,0,32522
sioux,1,1,171
slab,1,0,96
slack,0,0,293
sleeve,0,0,38
slid,1,0,1039
slob,1,0,13
smack,0,0,60
smear,0,0,97
smirk,0,0,9
snare,0,0,76
snip,0,0,6
snob,0,0,21
soft,0,0,2318
sold,1,0,18532
sore,1,0,143
sought,1,0,4116
soup,0,0,486
south,0,0,12413
spa,0,0,1048
spark,0,0,529
sparse,0,0,94
spat,0,0,79
spate,1,0,365
spend,1,0,3976
splice,0,0,15
split,0,0,3841
spoil,0,0,66
spoon,0,0,59
sport,0,0,1033
spouse,0,0,255
sprout,0,0,44
stalk,0,0,31
stark,0,0,494
steal,1,1,301
steed,0,0,28
steep,0,0,984
steer,0,0,304
stint,0,0,232
stool,0,0,46
store,1,0,5098
straight,1,1,1253
strait,1,1,194
stride,0,0,166
strike,0,0,5301
strive,1,0,100
sub,1,0,255
suede,0,0,20
suite,1,1,296
sup,1,0,7
sure,0,0,4946
surge,1,1,2644
swarm,0,0,32
sweat,0,0,212
sweet,1,1,516
swept,0,0,494
taint,0,0,52
tall,0,0,496
tame,0,0,93
tar,0,0,139
tea,1,1,484
tease,0,0,29
tee,1,1,48
terse,0,0,91
theft,0,0,456
then,1,0,22081
thrown,1,1,611
thrust,0,0,438
thug,0,0,15
thus,0,0,6180
tile,0,0,89
tire,1,0,2184
told,1,0,10996
tong,0,0,35
tore,1,1,77
town,0,0,3207
tract,1,0,158
trash,0,0,349
troop,1,1,223
trough,0,0,93
troup,1,1,3
try,0,0,6141
tryst,0,0,10
twelve,0,0,146
urge,0,0,614
urn,1,1,9
vault,0,0,150
verge,0,0,256
vest,0,0,112
vet,0,0,28
vex,0,0,9
vie,0,0,214
void,0,0,289
vouch,0,0,17
wane,0,0,82
ward,1,0,1269
ware,1,1,67
was,0,0,198841
wear,1,1,910
wee,0,0,81
wept,1,0,23
were,1,1,86582
whence,1,0,18
where,1,1,20122
whir,1,1,5
whit,1,1,25
whiz,0,0,109
whoop,0,0,13
wide,1,0,6141
wild,1,0,1022
wilt,1,0,20
win,1,0,5064
with,0,0,241752
woe,1,0,37
woke,0,0,55
wolf,0,0,732
wood,1,1,1540
word,1,0,2853
worst,0,0,2399
wound,0,0,534
wreath,0,0,27
wrest,1,1,91
wrist,0,0,97
yawl,0,0,0
yawn,1,1,62
yell,0,0,55
